sku,price
1379 - 1,22.5
1379 - 2,44.15
1379 - 3,64.97
1379,22.5
1380 - 10,43.74
1380 - 20,85.85
1380 - 30,126.32
1380,43.74
1381 - 30,13.32
1381 - 60,25.23
1381 - 90,36.79
1382 - 30,19.62
1382 - 60,37.84
1382 - 90,55.19
1382,19.62
1383-30,7.498
1383-60,13.384
1383-90,17.6796
1383,7.498
1385-30,36.961
1385-60,70.6384
1385-90,100.2348
1385,36.961
1386-10,16.054
1386-30,44.408
1386-60,83.2572
1386,16.054
1387 - 20,21.4475
1387 - 60,59.3376
1387 - 100,92.718
1387,21.4475
1388 - 20,25.875
1388 - 60,74.1776
1388 - 100,116.9424
1388,25.875
1389 - 100,10.649
1389 - 200,18.9728
1389 - 300,25.7148
1389,10.649
1390 - 2,8.3375
1390 - 6,21.3472
1390 - 10,32.1516
1390,8.3375
1391 - 1,3.6685
1391 - 2,6.832
1391 - 3,9.0396
1391,3.6685
1392 - 10,6.2445
1392 - 30,15.9824
1392 - 60,28.9008
1392,6.2445
1393 - 1,8.3375
1393 - 3,21.3472
1393 - 5,32.1516
1393,8.3375
1394 - 1,12.581
1394 - 3,32.9952
1394 - 5,50.6412
1394,12.581
1395 - 50,79.051
1395 - 100,151.0992
1395 - 150,214.38
1395,79.051
1396 - 30,14.421
1396 - 60,25.4352
1396 - 90,35.7588
1396,14.421
1397 - 1,31.625
1397 - 2,60.4352
1397 - 3,85.752
1397,31.625
1398 - 1,18.3885
1398 - 2,33.9136
1398 - 3,47.682
1398,18.3885
1399 - 30,10.0625
1399 - 60,17.9312
1399 - 90,24.3
1399,10.0625
1400 - 30,14.421
1400 - 60,25.4352
1400 - 90,35.7588
1400,14.421
1401 - 30,18.3885
1401 - 60,33.9136
1401 - 90,47.682
1401,18.3885
1402 - 20,21.4475
1402 - 40,39.5584
1402 - 60,55.6308
1402,21.4475
1407 - 1,8.3375
1407 - 3,21.3472
1407 - 5,32.1516
1407,8.3375
1408 - 1,13.064
1408 - 3,34.5632
1408 - 5,54.0108
1408,13.064
1409 - 100,13.064
1409 - 200,23.0496
1409 - 300,32.4108
1409,13.064
1501 - 1,3.9675
1501 - 3,8.3328
1501 - 5,12.7764
1501,3.9675
1502 - 1,7.636
1502 - 3,16.016
1502 - 5,24.5592
1502,7.636
1503 - 1,4.278
1503 - 3,8.96
1503 - 5,13.7484
1503,4.278
1504 - 1,4.3585
1504 - 3,12.1744
1504 - 5,18.6732
1504,4.3585
1505 - 1,3.9675
1505 - 3,8.3328
1505 - 5,12.7764
1505,3.9675
1506 - 1,7.636
1506 - 3,16.016
1506 - 5,32.7456
1506,7.636
1507 - 1,3.9675
1507 - 3,8.3328
1507 - 5,12.7764
1507,3.9675
1508 - 1,7.636
1508 - 3,16.016
1508 - 5,24.5592
1508,7.636
1509 - 1,6.1065
1509 - 3,12.8016
1509 - 5,19.6452
1509,6.1065
1510 - 1,5.428
1510 - 3,15.1648
1510 - 5,23.2524
1510,5.428
1511 - 1,3.9675
1511 - 3,8.3328
1511 - 5,12.7764
1511,3.9675
1512 - 1,7.636
1512 - 3,16.016
1512 - 5,32.7456
1512,7.636
1513 - 1,6.1065
1513 - 3,12.8016
1513 - 5,19.6452
1513,6.1065
1514 - 1,5.428
1514 - 3,15.1648
1514 - 5,23.2524
1514,5.428
1515 - 1,4.278
1515 - 3,8.96
1515 - 5,13.7484
1515,4.278
1516 - 1,7.636
1516 - 3,16.016
1516 - 5,24.5592
1516,7.636
1517 - 1,4.278
1517 - 3,8.96
1517 - 5,13.7484
1517,4.278
1518 - 1,4.3585
1518 - 3,12.1744
1518 - 5,18.6732
1518,4.3585
1521 - 1,4.278
1521 - 3,8.96
1521 - 5,13.7484
1521,4.278
1522 - 1,7.636
1522 - 3,16.016
1522 - 5,24.5592
1522,7.636
1523 - 1,6.1065
1523 - 3,12.8016
1523 - 5,19.6452
1523,6.1065
1524 - 1,5.2095
1524 - 3,14.5264
1524 - 5,22.302
1524,5.2095
1525 - 1,6.8885
1525 - 3,14.4032
1525 - 5,22.1076
1525,6.8885
1526 - 1,4.968
1526 - 3,13.9104
1526 - 5,21.3408
1526,4.968
1527 - 1,7.337
1527 - 3,15.3664
