sku,price
98 - 30,20.6885
98 - 60,38.1472
98 - 90,53.6328
98,20.6885
99 - 30,11.3275
99 - 60,20.1824
99 - 90,27.3348
99,11.3275
100 - 30,3.703
100 - 60,6.888
100 - 90,9.1368
100,3.703
101 - 30,9.3955
101 - 60,16.7328
101 - 90,22.68
101,9.3955
102 - 120,10.4765
102 - 240,17.9312
102 - 360,24.3
102,10.4765
103 - 120,13.6275
103 - 240,23.7328
103 - 360,33.3828
103,13.6275
116 - 30,6.2445
116 - 60,11.144
116 - 90,14.7096
116,6.2445
117 - 30,8.809
117 - 60,15.6912
117 - 90,21.2652
117,8.809
118 - 30,12.581
118 - 60,22.008
118 - 90,30.3696
118,12.581
119 - 30,6.7275
119 - 60,12.04
119 - 90,15.8868
119,6.7275
121 - 30,14.904
121 - 60,27.4624
121 - 90,38.6208
121,14.904
122 - 1,2.3
122 - 3,6.3952
122 - 6,11.2968
122,2.3
127 - 30,1.863
127 - 60,3.472
127 - 90,4.8168
127,1.863
131 - 1,459.9195
131 - 3,1318.6432
131 - 6,1.4472
131,459.9195
134 - 30,12.6845
134 - 60,22.1872
134 - 90,30.618
134,12.6845
135 - 30,16.9165
135 - 60,31.192
135 - 90,43.8696
135,16.9165
136 - 30,34.0515
136 - 60,65.1056
136 - 90,92.3832
136,34.0515
166 - 1,34.7645
166 - 3,99.68
166 - 6,188.5896
166,34.7645
167 - 2,112.48
167 - 1,57.31
167,57.31
168 - 30,41.66
168,41.66
169 - 30,22.747
169 - 60,42.7168
169 - 90,60.0804
169,22.747
170 - 30,7.2105
170 - 60,12.9024
170 - 90,17.0316
170,7.2105
187 - 100,10.902
187 - 200,20.3056
187 - 300,28.0368
187,10.902
188 - 30,14.421
188 - 60,25.4352
188 - 90,35.7588
188,14.421
189 - 1,7.13
189 - 3,18.2672
189 - 6,33.0264
189,7.13
206 - 1,14.099
206 - 3,37.296
206 - 6,69.9408
206,14.099
207 - 1,21.068
207 - 3,58.2736
207 - 6,109.2636
207,21.068
208 - 1,7.13
208 - 3,18.2672
208 - 6,33.0264
208,7.13
209 - 1,3.6685
209 - 3,9.8224
209 - 6,17.2908
209,3.6685
210 - 1,4.577
210 - 3,12.2752
210 - 6,21.222
210,4.577
211 - 1,9.2345
211 - 3,24.192
211 - 6,44.5608
211,9.2345
217 - 32,5.5315
217 - 64,9.8448
217 - 128,18.1656
217,1.5295
221 - 30,40.5605
221 - 60,77.5264
221 - 90,109.998
221,40.5605
222 - 30,76.0495
222 - 60,145.3536
222 - 90,206.2368
222,76.0495
223 - 30,2.0815
223 - 60,3.8976
223 - 90,5.3676
223,2.0815
224 - 30,3.7375
224 - 60,6.9664
224 - 90,9.2124
224,3.7375
229 - 1,15.318
229 - 3,42.3808
229 - 6,79.4772
229,15.318
231 - 1,13.064
231 - 3,34.5632
231 - 6,64.8108
231,13.064
232 - 2,62.49
232,62.49
238 - 30,15.6745
238 - 60,28.9072
238 - 90,40.6404
238,15.6745
239 - 30,10.1545
239 - 60,18.1104
239 - 90,24.5484
239,10.1545
240 - 1,2.2195
240 - 3,6.1936
240 - 6,10.9404
240,2.2195
249 - 1,16.9855
249 - 3,46.9952
249 - 6,88.1388
249,16.9855
250 - 1,19.0785
250 - 3,52.7744
250 - 6,98.9496
250,19.0785
256 - 1,4.8875
256 - 3,13.0592
256 - 6,22.5828
256,4.8875
263 - 1,5.0025
263 - 3,13.384
263 - 6,23.1444
263,5.0025
264 - 30,5.3935
264 - 60,9.6432
264 - 90,13.3272
264,5.3935
265 - 30,4.186
265 - 60,7.4704
265 - 90,10.2924
265,4.186
266 - 30,22.4825
266 - 60,42.2128
266 - 90,59.3676
266,22.4825
267 - 30,7.2795
267 - 60,12.992
267 - 90,17.1612
267,7.2795
268 - 30,13.0755
268 - 60,23.072
268 - 90,32.4432
268,13.0755
269 - 30,4.186
269 - 60,7.4704
269 - 90,10.2924
269,4.186
270 - 30,2.7485
270 - 60,5.1184
270 - 90,7.074
270,2.7485
276 - 30,47.426
276 - 60,90.6528
276 - 90,128.628
276,47.426
277 - 30,5.3935
277 - 60,9.6432
277 - 90,13.3272
277,5.3935
278 - 30,43.1135
278 - 60,82.4208
278 - 90,116.9424
278,43.1135
282 - 30,18.3885
282 - 60,33.9136
282 - 90,47.682
282,18.3885
283 - 30,8.7975
283 - 60,15.6912
283 - 90,21.2652
283,8.7975
290 - 50,86.2385
290 - 150,240.8
290 - 100,155.9196
290,86.2385
291 - 21,13.064
291 - 42,23.0496
291 - 84,43.2108
291,13.064
292 - 30,26.5995
292 - 60,50.8256
292 - 90,72.1008
292,26.5995
293 - 30,43.171
293 - 60,82.5216
293 - 90,117.0936
293,43.171
294 - 30,14.996
294 - 60,26.4544
294 - 90,37.1844
294,14.996
295 - 1000 Pills,13.27
295,13.27
296 - 1000 Pills,0
296,0
298 - 30,31.2685
298 - 60,59.7408
298 - 90,84.78
298,31.2685
299 - 30,21.1485
299 - 60,38.9984
299 - 90,54.8316
299,21.1485
301 - 30,40.2385
301 - 60,76.9216
301 - 90,109.1448
301,40.2385
304 - 1,4.002
304 - 3,10.696
304 - 6,18.846
304,4.002
305 - 1,5.6465
305 - 3,14.4816
305 - 6,26.1684
305,5.6465
306 - 28,8.257
306 - 56,14.7168
306 - 84,19.9368
306,8.257
307 - 20,1.932
307 - 60,3.584
307 - 100,4.9464
307,1.932
308 - 10 Ampoules X2 ml Injection/s,13.88
308,13.88
321 - 30,12.581
321 - 60,22.008
321 - 90,30.3696
321,12.581
322 - 30,5.3935
322 - 60,9.6432
322 - 90,13.3272
322,5.3935
323 - 30,2.7025
323 - 60,5.0176
323 - 90,6.9336
323,2.7025
324 - 84,19.3085
324 - 128,27.1264
324 - 156,30.996
324,19.3085
325 - 30,12.328
325 - 60,21.56
325 - 90,29.7648
325,12.328
326 - 30,16.2725
326 - 60,30.0048
326 - 90,42.1956
326,16.2725
327 - 30,4.5655
327 - 60,8.1536
327 - 90,11.2536
327,4.5655
328 - 30,8.004
328 - 60,14.2576
328 - 90,19.3104
328,8.004
329 - 30,11.4195
329 - 60,20.3504
329 - 90,27.5832
329,11.4195
331 - 30,4.1285
331 - 60,7.6832
331 - 90,10.1628
331,4.1285
332 - 30,1.7365
332 - 60,3.248
332 - 90,4.4712
332,1.7365
334 - 30,15.5825
334 - 60,28.7392
334 - 90,40.4136
334,15.5825
351 - 30,13.0755
351 - 60,22.8816
351 - 90,31.6008
351,13.0755
359 - 30,24.0695
359 - 60,45.2144
359 - 90,63.5796
359,24.058
360 - 30,44.1945
360 - 60,84.4816
360 - 90,119.8584
360,44.1945
363 - 1,24.633
363 - 3,70.6272
363 - 6,133.6176
363,24.633
364 - 6,49.2775
364 - 15,98.112
364 - 30,185.6196
364,49.2775
370 - 1,12.8915
370 - 3,34.1264
370 - 6,64.0008
370,12.8915
371 - 1,19.734
371 - 3,54.5888
371 - 6,102.3516
371,19.734
372 - 1,24.5525
372 - 3,69.1712
372 - 6,129.708
372,24.5525
373 - 30,11.3275
373 - 60,20.1824
373 - 90,27.3348
373,11.3275
374 - 30,117.852
374 - 60,225.2768
374 - 90,319.626
374,117.852
375 - 30,206.9655
375 - 60,395.5952
375 - 90,561.2976
375,206.9655
376 - 30,39.882
376 - 60,76.2272
376 - 90,108.162
376,39.882
377 - 30,61.4445
377 - 60,117.4432
377 - 90,166.6332
377,61.4445
394 - 30,9.8555
394 - 60,17.5728
394 - 90,23.814
394,9.8555
395 - 30,2.415
395 - 60,4.5024
395 - 90,6.2316
395,2.415
396 - 30,4.4505
396 - 60,7.9632
396 - 90,10.9836
396,4.4505
397 - 30,6.3135
397 - 60,11.2784
397 - 90,14.8824
397,6.3135
398 - 30,7.1645
398 - 60,12.7904
398 - 90,16.8912
398,7.1645
399 - 30,10.1545
399 - 60,18.1104
399 - 90,24.5484
399,10.1545
401 - 30,46
401 - 60,87.9312
401 - 90,124.7724
401,46
402 - 30,92.023
402 - 60,175.896
402 - 90,249.5772
402,92.023
403 - 30,12.581
403 - 60,22.008
403 - 90,30.3696
403,12.581
409-30,50.301
409-60,96.152
409-90,136.4256
409,50.301
434 - 1,6.946
434 - 3,19.4096
434 - 5,29.7648
434,6.946
435 - 1,5.0025
435 - 3,13.384
435 - 6,23.1444
435,5.0025
436 - 1,5.037
436 - 3,13.496
436 - 6,23.3388
436,5.037
437 - 1,5.382
437 - 3,14.4144
437 - 6,24.9372
437,5.382
438 - 1,8.4525
438 - 3,22.1872
438 - 6,40.824
438,8.4525
449 - 21,70.4145
449 - 42,134.5904
449 - 84,254.61
449,70.4145
450 - 30,7.1875
450 - 60,12.824
450 - 90,16.9452
450,7.1875
451 - 30,4.6115
451 - 60,8.2432
451 - 90,11.394
451,4.6115
452 - 50 Test Strips 1 Coding Chip,33.33
452,33.33
462 - 28,15.318
462 - 56,28.2576
462 - 84,39.7332
462,15.318
464 - 30,3.703
464 - 60,6.888
464 - 90,9.1368
464,3.703
465 - 30,19.2625
465 - 60,35.5152
465 - 90,49.9608
465,19.2625
466 - 30,23.069
466 - 60,43.3104
466 - 90,60.912
466,23.069
467 - 30,27.3815
467 - 60,52.3376
467 - 90,74.2608
467,27.3815
468 - 30,30.705
468 - 60,58.688
468 - 90,83.2572
468,30.705
471 - 30,172.4655
471 - 60,329.6608
471 - 90,467.748
471,172.4655
472 - 30,431.1695
472 - 60,824.152
472 - 90,1169.37
472,431.1695
473 - 30,19.113
473 - 60,35.2688
473 - 90,49.5828
473,19.113
474 - 30,35.88
474 - 60,68.5664
474 - 90,97.2864
474,35.88
475 - 30,30.1875
475 - 60,57.6912
475 - 90,81.8532
475,30.1875
479 - 1,1.8515
479 - 3,5.1744
479 - 6,9.1368
479,1.8515
489 - 30,2.7485
489 - 60,5.1184
489 - 90,7.074
489,2.7485
490 - 30,3.634
490 - 60,6.7648
490 - 90,8.9424
490,3.634
491 - 30,2.415
491 - 60,4.5024
491 - 90,6.2316
491,2.415
492 - 30,1.311
492 - 60,2.4528
492 - 90,3.402
492,1.311
493 - 30,18.3885
493 - 60,33.9136
493 - 90,47.682
493,18.3885
494 - 1,6.2445
494 - 3,15.9824
494 - 6,28.9008
494,6.2445
495 - 32,36.455
495 - 64,69.6752
495 - 128,131.8032
495,36.455
496 - 32,54.51
496 - 64,104.1712
496 - 128,197.0784
496,54.51
499 - 1,6.6815
499 - 3,17.136
499 - 6,30.9528
499,6.6815
500 - 60,16.9855
500 - 90,23.5088
500 - 120,29.376
500,16.9855
502 - 1,13.156
502 - 3,34.832
502 - 6,65.2968
502,13.156
503 - 1,16.9855
503 - 3,46.9952
503 - 6,88.1388
503,16.9855
504 - 60,8.4525
504 - 90,11.7936
504 - 120,13.8456
504,8.4525
505 - 90,31.51
505 - 120,40.152
505 - 150,47.466
505,31.51
506 - 5,49.2775
506 - 10,94.192
506 - 15,133.6392
506,49.2775
507 - 1,35.926
507 - 3,103.0176
507 - 6,194.8968
507,35.926
508 - 1,66.1135
508 - 3,189.56
508 - 6,358.6032
508,66.1135
509 - 30,3.3005
509 - 60,6.1488
509 - 90,8.4996
509,3.3005
510 - 30,5.3935
510 - 60,9.6432
510 - 90,13.3272
510,5.3935
514 - 30,14.9385
514 - 60,27.552
514 - 90,38.7396
514,14.9385
517 - 30,14.9385
517 - 60,27.552
517 - 90,38.7396
517,14.9385
518 - 1,5.382
518 - 3,15.7248
518 - 6,27.864
518,5.382
519 - 1,8.05
519 - 3,20.16
519 - 6,38.88
519,8.05
520 - 1,5.796
520 - 3,14.84
520 - 6,26.8272
520,5.796
521 - 1,4.577
521 - 3,12.2752
521 - 6,21.222
521,4.577
522 - 30,24.104
522 - 60,45.2592
522 - 90,63.6552
522,24.104
523 - 30,5.0025
523 - 60,8.9264
523 - 90,12.3228
523,5.0025
524 - 30,5.0025
524 - 60,8.9264
524 - 90,12.3228
524,5.0025
525 - 1,10.4765
525 - 3,27.5072
525 - 6,50.6412
525,10.4765
526 - 30,74.0025
526 - 60,141.4
526 - 90,204.5196
526,25.346
527 - 1,38.019
527 - 3,109.0208
527 - 6,206.2368
527,38.019
530 - 30,118.473
530 - 60,226.3632
530 - 90,327.4236
530,40.5605
531 - 30,372.347
531 - 60,711.4352
531 - 90,1029.0564
531,126.362
532 - 1,45.9885
532 - 3,131.8688
532 - 6,249.4692
532,45.9885
533 - 30,87.0435
533 - 60,164.8304
533 - 90,238.4208
533,18.5725
534 - 30,8.5445
534 - 60,15.2432
534 - 90,20.6604
534,8.5445
536 - 30,3.2545
536 - 60,6.0368
536 - 90,7.992
536,3.2545
537 - 30,4.784
537 - 60,8.5344
537 - 90,11.7936
537,4.784
538 - 30,9.9705
538 - 60,17.7408
538 - 90,24.0624
538,9.9705
540 - 5,95.818
540 - 10,183.1424
540 - 15,259.8588
540,95.818
548 - 30,14.513
548 - 60,25.6032
548 - 90,36.0072
548,14.513
549 - 30,6.2445
549 - 60,11.144
549 - 90,14.7096
549,6.2445
555 - 50,4.1975
555 - 75,5.8688
555 - 100,6.9012
555,4.1975
556 - 30,3.128
556 - 60,5.8352
556 - 90,7.722
556,3.128
557 - 30,7.544
557 - 60,13.4624
557 - 90,17.7876
557,7.544
568 - 30,8.0845
568 - 60,14.4144
568 - 90,19.0404
568,8.0845
570 - 1,11.178
570 - 3,29.344
570 - 6,54.0108
570,11.178
571 - 30,18.9405
571 - 60,34.9328
571 - 90,49.1076
571,18.9405
582 - 30,25.576
582 - 60,48.0368
582 - 90,67.554
582,25.576
585 - 30,15.2375
585 - 60,26.8688
585 - 90,37.7892
585,15.2375
586 - 30,26.519
586 - 60,50.68
586 - 90,71.9172
586,26.519
587 - 30,179.4
587 - 60,349.44
587 - 90,505.44
587,179.4
588 - 30,356.5
588 - 60,694.4
588 - 90,1004.4
588,0
589 - 30,7.4865
589 - 60,13.3728
589 - 90,17.658
589,7.4865
590 - 30,12.9835
590 - 60,22.904
590 - 90,32.2056
590,12.9835
591 - 5,68.4365
591 - 10,130.816
591 - 15,185.6196
591,68.4365
602 - 30,2.7485
602 - 60,5.1184
602 - 90,7.074
602,2.7485
603 - 30,5.0025
603 - 60,8.9264
603 - 90,12.3228
603,5.0025
604 - 30,3.8525
604 - 60,7.168
604 - 90,9.4932
604,3.8525
605 - 30,5.5315
605 - 60,9.8672
605 - 90,13.6296
605,5.5315
606 - 1,8.1075
606 - 3,21.3024
606 - 6,39.2256
606,8.1075
607 - 20,9.6025
607 - 40,17.0912
607 - 80,30.888
607,9.6025
608 - 20,8.4525
608 - 40,15.0528
608 - 80,27.2268
608,8.4525
617 - 28,91.9885
617 - 56,175.8176
617 - 84,249.4692
617,91.9885
622 - 30,3.8985
622 - 60,7.28
622 - 90,9.6228
622,3.8985
623 - 30,2.53
623 - 60,4.7152
623 - 90,6.5016
623,2.53
625 - 30,199.9505
625 - 60,382.1888
625 - 90,723.0276
625,199.9505
626 - 30,1.794
626 - 60,3.3488
626 - 90,4.6332
626,1.794
633 - 1,7.13
633 - 3,18.2672
633 - 6,33.0264
633,7.13
637 - 100,54.7515
637 - 200,104.6528
637 - 300,148.4892
637,54.7515
639 - 30,12.6845
639 - 60,22.1872
639 - 90,30.618
639,12.6845
640 - 30,1.633
640 - 60,3.0576
640 - 90,4.212
640,1.633
641 - 30,10.5685
641 - 60,18.8272
641 - 90,25.5096
641,10.5685
643 - 30,6.7275
643 - 60,12.04
